date,gumroad_revenue,gumroad_sales,subscribers,notes
2026-08-22,0.0,0,4,ok
2026-08-25,,,4,gumroad not configured
2026-08-26,,,4,gumroad not configured
2026-08-27,,,4,gumroad not configured
2026-08-28,,,4,gumroad not configured
2026-08-29,,,4,gumroad not configured
2026-08-30,,,4,gumroad not configured
2026-08-31,,,4,gumroad not configured
2026-09-01,,,4,gumroad not configured
2026-09-02,,,4,gumroad not configured
2026-09-03,,,4,gumroad not configured
2026-09-04,,,4,gumroad not configured
